motif	human TFs	mouse TFs
AHR_si	AHR_HUMAN	AHR_MOUSE
AIRE_f2	AIRE_HUMAN	AIRE_MOUSE
ALX1_si	ALX1_HUMAN	ALX1_MOUSE
ANDR_do	ANDR_HUMAN	ANDR_MOUSE
AP2A_f2	AP2A_HUMAN	AP2A_MOUSE
AP2B_f1	AP2B_HUMAN	AP2B_MOUSE
AP2C_f1	AP2C_HUMAN	AP2C_MOUSE
AP2D_f1	AP2D_HUMAN	AP2D_MOUSE
ARI3A_do	ARI3A_HUMAN	ARI3A_MOUSE
ARI3A_f1	ARI3A_HUMAN	ARI3A_MOUSE
ARI5B_f1	ARI5B_HUMAN	ARI5B_MOUSE
ARNT2_si	ARNT2_HUMAN	ARNT2_MOUSE
ARNT_f1	ARNT_HUMAN	ARNT_MOUSE
ATF1_si	ATF1_HUMAN	ATF1_MOUSE
ATF2+ATF4_f1	ATF2_HUMAN,ATF4_HUMAN	ATF2_MOUSE,ATF4_MOUSE
ATF3_f1	ATF3_HUMAN	ATF3_MOUSE
ATF5_si	ATF5_HUMAN	ATF5_MOUSE
ATF6A_si	ATF6A_HUMAN	
BACH1_si	BACH1_HUMAN	BACH1_MOUSE
BARX2_si	BARX2_HUMAN	BARX2_MOUSE
BATF_si	BATF_HUMAN	BATF_MOUSE
BCL6_f1	BCL6_HUMAN	BCL6_MOUSE
BHE40_f2	BHE40_HUMAN	BHE40_MOUSE
BHE41_f1	BHE41_HUMAN	BHE41_MOUSE
BMAL1_f1	BMAL1_HUMAN	BMAL1_MOUSE
BPTF_si	BPTF_HUMAN	
BRAC_si	BRAC_HUMAN	BRAC_MOUSE
BRCA1_f1	BRCA1_HUMAN	BRCA1_MOUSE
CDC5L_si	CDC5L_HUMAN	CDC5L_MOUSE
CDX1_f1	CDX1_HUMAN	CDX1_MOUSE
CDX2_f1	CDX2_HUMAN	CDX2_MOUSE
CEBPA_do	CEBPA_HUMAN	CEBPA_MOUSE
CEBPB_f1	CEBPB_HUMAN	CEBPB_MOUSE
CEBPD_f1	CEBPD_HUMAN	CEBPD_MOUSE
CEBPE_f1	CEBPE_HUMAN	CEBPE_MOUSE
CEBPG_si	CEBPG_HUMAN	CEBPG_MOUSE
CEBPZ_si	CEBPZ_HUMAN	CEBPZ_MOUSE
COE1_f2	COE1_HUMAN	COE1_MOUSE
COT1_f1	COT1_HUMAN	COT1_MOUSE
COT1_si	COT1_HUMAN	COT1_MOUSE
COT2_f1	COT2_HUMAN	COT2_MOUSE
COT2_f2	COT2_HUMAN	COT2_MOUSE
CREB1_f1	CREB1_HUMAN	CREB1_MOUSE
CREM_f1	CREM_HUMAN	CREM_MOUSE
CRX_si	CRX_HUMAN	CRX_MOUSE
